Nome; Telefone; Participacao; Dia_hora; Grau; Dia_hora_opcao; Materias; Outros
Pedro Carvalho; 21654971; Aulas Presenciais e Enviar Resumos; Quinta Feira-16:00 até 16:50 e Sexta Feira-11:10 até 12:00; Pós Graduacao; ;física e química; 
Maria Laura Soares; 993055090; Aulas Online e Produzir Reels-TikTok; ; Ensino Fundamental Completo; ; Inglês; 
Júlia Amaral; 992421362; Aulas Online e Aulas Presenciais e Enviar Resumos; ; Ensino Superior Incompleto; Sábados - de 11h até 12:30; Matemática e História; Quem pode ser coordenador?
Ana Maria Souza; 997423015; Aulas Presenciais; Terça Feira-14:40 até 16:40 e Quinta Feira-16:00 até 16:50 e Sexta Feira-de 15:50 até 16:40; Pós Graduacao; ; Filosofia e Sociologia; 
Coldplay; 156873558; Produzir Reels-TikTok; ; Ensino Superior Completo; ;Música; Yellow
Laureno Farias Soares; 21992651496; Aulas Online e Aulas Presenciais; Quinta Feira-16:00 até 16:50 e Sexta Feira-11:10 até 12:00; Ensino Medio Completo; ;Física e Matemática; Onde seria o atendimento presencial?
; ; ; ; ; ; ; 
Maria Laura Barbosa Soares; 21992421362; Aulas Online e Enviar Resumos; Quinta Feira-16:00 até 16:50; Ensino Fundamental Completo; ;Inglês e Espanhol; 
Carmem Bezerro; 9976590013; Aulas Presenciais; Sexta Feira-de 15:50 até 16:40; Pós Graduacao; ;Literatura e Redação; 
Maria Cristina; 993055090; Aulas Presenciais; Quinta Feira-16:00 até 16:50; Ensino Superior Incompleto; ;; 
; ; ; ; ; ; ; 
